Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5596,typeof(string),"			// argumentTypeArray = new Type[] { typeof(string), typeof(string), typeof(string) };","			// argumentTypeArray = new Type[] { EraType.String, EraType.String, EraType.String };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5687,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5688,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5723,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5724,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5743,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5744,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5761,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5762,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5802,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5803,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5816,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5858,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5859,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5876,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5877,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5894,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5895,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,5951,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6025,typeof(long),				ReturnType = typeof(long);,				ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6030,typeof(string),				ReturnType = typeof(string);,				ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6032,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6051,typeof(long),			if (ReturnType != typeof(long)),			if (ReturnType != EraType.Integer),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6061,typeof(string),			if (ReturnType != typeof(string)),			if (ReturnType != EraType.String),
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6078,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6116,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6134,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6135,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6147,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6148,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6312,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6313,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6354,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6355,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6380,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6381,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6406,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6407,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6439,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6440,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6470,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6471,typeof(string),"			// argumentTypeArray = new Type[] { typeof(Int64), typeof(string), typeof(Int64) };","			// argumentTypeArray = new Type[] { typeof(Int64), EraType.String, typeof(Int64) };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6472,typeof(string),"			// argumentTypeArray = new Type[] { typeof(Int64), typeof(string), typeof(Int64), typeof(Int64) };","			// argumentTypeArray = new Type[] { typeof(Int64), EraType.String, typeof(Int64), typeof(Int64) };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6550,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6553,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6584,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6585,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6616,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6617,typeof(string),"			// argumentTypeArray = new Type[] { typeof(Int64), typeof(string), typeof(Int64), typeof(Int64) };","			// argumentTypeArray = new Type[] { typeof(Int64), EraType.String, typeof(Int64), typeof(Int64) };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6719,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6720,typeof(string),"			// argumentTypeArray = new Type[] { typeof(string), typeof(string), typeof(Int64), typeof(Int64) };","			// argumentTypeArray = new Type[] { EraType.String, EraType.String, typeof(Int64), typeof(Int64) };",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6824,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6901,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6902,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer, EraType.Integer, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6932,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6933,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6966,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,6967,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer, EraType.Integer];",
