Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8703,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8726,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8779,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8810,typeof(string),			argumentTypeArray = new Type[] { typeof(string) };,			argumentTypeArray = new Type[] { EraType.String };,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8920,typeof(long),			ReturnType = typeof(long); ,			ReturnType = EraType.Integer; ,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,8989,typeof(long),			ReturnType = typeof(long); ,			ReturnType = EraType.Integer; ,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9033,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9109,typeof(long),			ReturnType = typeof(long); ,			ReturnType = EraType.Integer; ,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9130,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9203,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9253,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9297,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9312,typeof(long); typeof(string),		public SqlDisconnectMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string) }; CanRestructure = false; },		public SqlDisconnectMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String }; CanRestructure = false; },
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9322,typeof(long); typeof(string),"		public SqlExecuteNonQueryMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExecuteNonQueryMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9331,typeof(long); typeof(string),"		public SqlExecuteReaderMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExecuteReaderMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9340,typeof(long),		public SqlReaderReadMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(long) }; CanRestructure = false; },		public SqlReaderReadMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.Integer }; CanRestructure = false; },
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9349,typeof(long),"		public SqlReaderGetLongMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(long), typeof(long) }; CanRestructure = false; }","		public SqlReaderGetLongMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.Integer, EraType.Integer }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9358,typeof(long); typeof(string),"		public SqlReaderGetStringMethod() { ReturnType = typeof(string); argumentTypeArray = new[] { typeof(long), typeof(long) }; CanRestructure = false; }","		public SqlReaderGetStringMethod() { ReturnType = EraType.String; argumentTypeArray = new[] { EraType.Integer, EraType.Integer }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9367,typeof(long),"		public SqlReaderIsNullMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(long), typeof(long) }; CanRestructure = false; }","		public SqlReaderIsNullMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.Integer, EraType.Integer }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9376,typeof(long),		public SqlReaderCloseMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(long) }; CanRestructure = false; },		public SqlReaderCloseMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.Integer }; CanRestructure = false; },
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9385,typeof(long); typeof(string),"		public SqlExecuteScalarLongMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExecuteScalarLongMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9394,typeof(string),"		public SqlExecuteScalarStringMethod() { ReturnType = typeof(string); argumentTypeArray = new[] { typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExecuteScalarStringMethod() { ReturnType = EraType.String; argumentTypeArray = new[] { EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9402,typeof(long); typeof(string),"		public SqlImportMapXmlMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlImportMapXmlMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9411,typeof(long); typeof(string),"		public SqlImportDtXmlMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string), typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlImportDtXmlMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String, EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9420,typeof(long); typeof(string),"		public SqlExportMapXmlMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExportMapXmlMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9429,typeof(long); typeof(string),"		public SqlExportDtXmlMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string), typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlExportDtXmlMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String, EraType.String, EraType.String }; CanRestructure = false; }",
